,state,eta,chi,setup,UV_HWP,QP,B_HWP,fidelity,n,pred_rho,actual_rho
0,E0,45.0,0.0,C0,45.0,-34.509349496210376,45.0,0.9999999999999998,0,"[[0.00000000e+00+0.j 0.00000000e+00+0.j 0.00000000e+00+0.j
  0.00000000e+00+0.j]
 [0.00000000e+00+0.j 1.00000000e+00+0.j 1.11022302e-16+0.j
  0.00000000e+00+0.j]
 [0.00000000e+00+0.j 1.11022302e-16+0.j 1.23259516e-32+0.j
  0.00000000e+00+0.j]
 [0.00000000e+00+0.j 0.00000000e+00+0.j 0.00000000e+00+0.j
  0.00000000e+00+0.j]]","[[ 3.98694913e-32+0.00000000e+00j -1.99673462e-16+0.00000000e+00j
  -3.45276849e-32-1.99352624e-32j -6.19358955e-48-3.57599513e-48j]
 [-1.99673462e-16+0.00000000e+00j  1.00000000e+00+0.00000000e+00j
   1.72920751e-16+9.98393189e-17j  3.10185916e-32+1.79092159e-32j]
 [-3.45276849e-32+1.99352624e-32j  1.72920751e-16-9.98393189e-17j
   3.98694756e-32+0.00000000e+00j  7.15180205e-48+0.00000000e+00j]
 [-6.19358955e-48+3.57599513e-48j  3.10185916e-32-1.79092159e-32j
   7.15180205e-48+0.00000000e+00j  1.28289303e-63+0.00000000e+00j]]"
1,E0,45.0,18.0,C0,40.38869451843572,-30.817427428835302,45.0,0.9999555768980387,3,"[[0.00000000e+00+0.j        0.00000000e+00+0.j
  0.00000000e+00+0.j        0.00000000e+00+0.j       ]
 [0.00000000e+00+0.j        9.75528258e-01+0.j
  8.67361738e-17+0.1545085j 0.00000000e+00+0.j       ]
 [0.00000000e+00+0.j        8.67361738e-17-0.1545085j
  2.44717419e-02+0.j        0.00000000e+00+0.j       ]
 [0.00000000e+00+0.j        0.00000000e+00+0.j
  0.00000000e+00+0.j        0.00000000e+00+0.j       ]]","[[ 3.88453759e-32+0.00000000e+00j -1.94544511e-16-2.06947896e-33j
  -1.09413357e-18-3.15691649e-17j -1.96266106e-34-5.66288909e-33j]
 [-1.94544511e-16+2.06947896e-33j  9.74313305e-01+0.00000000e+00j
   5.47961439e-03+1.58103960e-01j  9.82935360e-19+2.83607498e-17j]
 [-1.09413357e-18+3.15691649e-17j  5.47961439e-03-1.58103960e-01j
   2.56866945e-02+0.00000000e+00j  4.60768925e-18+0.00000000e+00j]
 [-1.96266106e-34+5.66288909e-33j  9.82935360e-19-2.83607498e-17j
   4.60768925e-18+0.00000000e+00j  8.26529091e-34+0.00000000e+00j]]"
2,E0,45.0,36.0,C0,36.021390128686114,-30.699185609928072,45.0,0.9999981534986788,0,"[[0.00000000e+00+0.j         0.00000000e+00+0.j
  0.00000000e+00+0.j         0.00000000e+00+0.j        ]
 [0.00000000e+00+0.j         9.04508497e-01+0.j
  6.93889390e-17+0.29389263j 0.00000000e+00+0.j        ]
 [0.00000000e+00+0.j         6.93889390e-17-0.29389263j
  9.54915028e-02+0.j         0.00000000e+00+0.j        ]
 [0.00000000e+00+0.j         0.00000000e+00+0.j
  0.00000000e+00+0.j         0.00000000e+00+0.j        ]]","[[ 3.60797753e-32+0.00000000e+00j -1.80693894e-16+0.00000000e+00j
  -2.27610720e-19-5.85614228e-17j -4.08288996e-35-1.05047708e-32j]
 [-1.80693894e-16+0.00000000e+00j  9.04946968e-01+0.00000000e+00j
   1.13991473e-03+2.93285959e-01j  2.04478348e-19+5.26097495e-17j]
 [-2.27610720e-19+5.85614228e-17j  1.13991473e-03-2.93285959e-01j
   9.50530323e-02+0.00000000e+00j  1.70506499e-17+0.00000000e+00j]
 [-4.08288996e-35+1.05047708e-32j  2.04478348e-19-5.26097495e-17j
   1.70506499e-17+0.00000000e+00j  3.05855222e-33+0.00000000e+00j]]"
3,E0,45.0,54.0,C0,31.307008439328143,-30.725731399242008,45.0,0.9999354216964881,13,"[[0.00000000e+00+0.j        0.00000000e+00+0.j
  0.00000000e+00+0.j        0.00000000e+00+0.j       ]
 [0.00000000e+00+0.j        7.93892626e-01+0.j
  1.38777878e-16+0.4045085j 0.00000000e+00+0.j       ]
 [0.00000000e+00+0.j        1.38777878e-16-0.4045085j
  2.06107374e-01+0.j        0.00000000e+00+0.j       ]
 [0.00000000e+00+0.j        0.00000000e+00+0.j
  0.00000000e+00+0.j        0.00000000e+00+0.j       ]]","[[ 3.14337498e-32+0.00000000e+00j -1.57425777e-16-2.63361593e-34j
  -8.79324269e-19-8.15481540e-17j -1.57733529e-34-1.46281396e-32j]
 [-1.57425777e-16+2.63361593e-34j  7.88416123e-01+0.00000000e+00j
   4.40381141e-03+4.08407574e-01j  7.89957404e-19+7.32603094e-17j]
 [-8.79324269e-19+8.15481540e-17j  4.40381141e-03-4.08407574e-01j
   2.11583877e-01+0.00000000e+00j  3.79539981e-17+0.00000000e+00j]
 [-1.57733529e-34+1.46281396e-32j  7.89957404e-19-7.32603094e-17j
   3.79539981e-17+0.00000000e+00j  6.80820294e-33+0.00000000e+00j]]"
4,E0,45.0,72.0,C0,27.433092389321807,-30.664269635280853,44.98980323259949,0.999765353565793,5,"[[0.00000000e+00+0.j         0.00000000e+00+0.j
  0.00000000e+00+0.j         0.00000000e+00+0.j        ]
 [0.00000000e+00+0.j         6.54508497e-01+0.j
  8.32667268e-17+0.47552826j 0.00000000e+00+0.j        ]
 [0.00000000e+00+0.j         8.32667268e-17-0.47552826j
  3.45491503e-01+0.j         0.00000000e+00+0.j        ]
 [0.00000000e+00+0.j         0.00000000e+00+0.j
  0.00000000e+00+0.j         0.00000000e+00+0.j        ]]","[[ 8.47314962e-08+0.00000000e+00j -2.38053725e-04+0.00000000e+00j
   8.66907063e-07-1.67514650e-04j  3.08561996e-10-5.96242171e-08j]
 [-2.38053725e-04+0.00000000e+00j  6.68813586e-01+0.00000000e+00j
  -2.43558139e-03+4.70633569e-01j -8.66907063e-07+1.67514650e-04j]
 [ 8.66907063e-07+1.67514650e-04j -2.43558139e-03-4.70633569e-01j
   3.31186287e-01+0.00000000e+00j  1.17880574e-04+0.00000000e+00j]
 [ 3.08561996e-10+5.96242171e-08j -8.66907063e-07-1.67514650e-04j
   1.17880574e-04+0.00000000e+00j  4.19577446e-08+0.00000000e+00j]]"
5,E0,45.0,90.0,C0,22.70082281600571,-30.612584104177134,44.540101948517695,0.9996069975511326,3,"[[0.00000000e+00+0.j  0.00000000e+00+0.j  0.00000000e+00+0.j
  0.00000000e+00+0.j ]
 [0.00000000e+00+0.j  5.00000000e-01+0.j  8.32667268e-17+0.5j
  0.00000000e+00+0.j ]
 [0.00000000e+00+0.j  8.32667268e-17-0.5j 5.00000000e-01+0.j
  0.00000000e+00+0.j ]
 [0.00000000e+00+0.j  0.00000000e+00+0.j  0.00000000e+00+0.j
  0.00000000e+00+0.j ]]","[[ 1.30652294e-04+0.00000000e+00j -8.13787092e-03+0.00000000e+00j
   1.49020203e-04-8.02318366e-03j  2.39249695e-06-1.28811007e-04j]
 [-8.13787092e-03+0.00000000e+00j  5.06879298e-01+0.00000000e+00j
  -9.28194323e-03+4.99735832e-01j -1.49020203e-04+8.02318366e-03j]
 [ 1.49020203e-04+8.02318366e-03j -9.28194323e-03-4.99735832e-01j
   4.92863011e-01+0.00000000e+00j  7.91284153e-03+0.00000000e+00j]
 [ 2.39249695e-06+1.28811007e-04j -1.49020203e-04-8.02318366e-03j
   7.91284153e-03+0.00000000e+00j  1.27039481e-04+0.00000000e+00j]]"
6,E0,59.99999999999999,0.0,C0,37.347409266588954,-23.647879371336437,44.645281448522645,0.9995862085327799,3,"[[ 0.       +0.j  0.       +0.j  0.       +0.j  0.       +0.j]
 [ 0.       +0.j  0.9330127+0.j -0.25     +0.j  0.       +0.j]
 [ 0.       +0.j -0.25     +0.j  0.0669873+0.j  0.       +0.j]
 [ 0.       +0.j  0.       +0.j  0.       +0.j  0.       +0.j]]","[[ 1.42624801e-04+0.00000000e+00j -1.15181198e-02+8.95570708e-20j
   3.14637007e-03+1.90282916e-04j  3.89603871e-05+2.35620600e-06j]
 [-1.15181198e-02-8.95570708e-20j  9.30182427e-01+0.00000000e+00j
  -2.54095130e-01-1.53669025e-02j -3.14637007e-03-1.90282916e-04j]
 [ 3.14637007e-03-1.90282916e-04j -2.54095130e-01+1.53669025e-02j
   6.96642669e-02+0.00000000e+00j  8.62627963e-04+0.00000000e+00j]
 [ 3.89603871e-05-2.35620600e-06j -3.14637007e-03+1.90282916e-04j
   8.62627963e-04+0.00000000e+00j  1.06816168e-05+0.00000000e+00j]]"
7,E0,59.99999999999999,18.0,C0,36.03440748015908,-26.17717942818547,44.50043776911489,0.9995575234501617,33,"[[ 0.        +0.j          0.        +0.j          0.        +0.j
   0.        +0.j        ]
 [ 0.        +0.j          0.91181955+0.j         -0.25      +0.13380828j
   0.        +0.j        ]
 [ 0.        +0.j         -0.25      -0.13380828j  0.08818045+0.j
   0.        +0.j        ]
 [ 0.        +0.j          0.        +0.j          0.        +0.j
   0.        +0.j        ]]","[[ 2.75233223e-04+0.00000000e+00j -1.57819213e-02-7.77275364e-19j
   4.52472606e-03-2.36798497e-03j  7.89102237e-05-4.12971351e-05j]
 [-1.57819213e-02+7.77275364e-19j  9.04938132e-01+0.00000000e+00j
  -2.59448586e-01+1.35780673e-01j -4.52472606e-03+2.36798497e-03j]
 [ 4.52472606e-03+2.36798497e-03j -2.59448586e-01-1.35780673e-01j
   9.47578148e-02+0.00000000e+00j  1.65255537e-03+0.00000000e+00j]
 [ 7.89102237e-05+4.12971351e-05j -4.52472606e-03-2.36798497e-03j
   1.65255537e-03+0.00000000e+00j  2.88202009e-05+0.00000000e+00j]]"
8,E0,59.99999999999999,36.0,C0,33.950322219075204,-27.31879053842641,44.628253465811405,0.9993644989323648,52,"[[ 0.        +0.j          0.        +0.j          0.        +0.j
   0.        +0.j        ]
 [ 0.        +0.j          0.85031463+0.j         -0.25      +0.25451848j
   0.        +0.j        ]
 [ 0.        +0.j         -0.25      -0.25451848j  0.14968537+0.j
   0.        +0.j        ]
 [ 0.        +0.j          0.        +0.j          0.        +0.j
   0.        +0.j        ]]","[[ 1.44545944e-04+0.00000000e+00j -1.11385136e-02-1.20243258e-18j
   3.33213294e-03-3.05810557e-03j  4.32415237e-05-3.96854348e-05j]
 [-1.11385136e-02+1.20243258e-18j  8.58318696e-01+0.00000000e+00j
  -2.56769628e-01+2.35653451e-01j -3.33213294e-03+3.05810557e-03j]
 [ 3.33213294e-03+3.05810557e-03j -2.56769628e-01-2.35653451e-01j
   1.41512927e-01+0.00000000e+00j  1.83643171e-03+0.00000000e+00j]
 [ 4.32415237e-05+3.96854348e-05j -3.33213294e-03-3.05810557e-03j
   1.83643171e-03+0.00000000e+00j  2.38316137e-05+0.00000000e+00j]]"
9,E0,59.99999999999999,54.0,C0,29.871717638742034,-27.92490882137764,45.0,0.9990901570263847,2,"[[ 0.        +0.j          0.        +0.j          0.        +0.j
   0.        +0.j        ]
 [ 0.        +0.j          0.75451848+0.j         -0.25      +0.35031463j
   0.        +0.j        ]
 [ 0.        +0.j         -0.25      -0.35031463j  0.24548152+0.j
   0.        +0.j        ]
 [ 0.        +0.j          0.        +0.j          0.        +0.j
   0.        +0.j        ]]","[[ 2.97471136e-32+0.00000000e+00j -1.48978804e-16+0.00000000e+00j
   5.50374983e-17-6.72555071e-17j  9.87264786e-33-1.20643190e-32j]
 [-1.48978804e-16+0.00000000e+00j  7.46112192e-01+0.00000000e+00j
  -2.75637522e-01+3.36827471e-01j -4.94439660e-17+6.04202427e-17j]
 [ 5.50374983e-17+6.72555071e-17j -2.75637522e-01-3.36827471e-01j
   2.53887808e-01+0.00000000e+00j  4.55424937e-17+0.00000000e+00j]
 [ 9.87264786e-33+1.20643190e-32j -4.94439660e-17-6.04202427e-17j
   4.55424937e-17+0.00000000e+00j  8.16943023e-33+0.00000000e+00j]]"
