W,min_W_prime,eta_arr,chi
-0.14999953846150801,-0.14999953846182573,0.001,1.5707963267948966
-0.13607198555078306,-0.13607198556315392,0.17542181408832186,1.5707963267948966
-0.09798696140310253,-0.09798696140310106,0.3498436281766437,1.5707963267948966
-0.04701005434188941,-0.047010054341888693,0.5242654422649656,1.5707963267948966
-0.006268066889665667,-0.006268066889665278,0.6986872563532874,1.5707963267948966
-0.0064094367359704,-0.0064094367360204366,0.8731090704416092,1.5707963267948966
-0.04730231200781019,-0.04730231200782288,1.0475308845299311,1.5707963267948966
-0.0740572665207076,-0.09825744456596595,1.221952698618253,1.5707963267948966
-0.13622721106329228,-0.13622721106329255,1.3963745127065748,1.5707963267948966
-0.14999999999999997,-0.15000000000000002,1.5707963267948966,1.5707963267948966
